dataset,project,package,complextype,method,smell,severity,multiclass,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_method,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,modifier_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods,visibility_type
god-class,aoi-2.8.1,artofillusion,TriMeshBeveler,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,26.63636364,28,13,20,1,8,0.722222222,1248,31219,136533,1257,0,0,1,12,154,799,0,0,0,6,32,1184,5602,10,1423,6880,11,4,22,43,1,292,293,0.285714286,0,other,4,0,4,8,4,0,0,0,1,0,0,0,11,11,0,0,0,8,8,0,0,3,9,0,public
long-method,aoi-2.8.1,artofillusion.animation.distortion,BendDistortion,transform(Mesh),1.0,2.0,5.0,1.0,0.0,4.0,2.0,0.0,3.0,105.0,25.0,0.0,16.0,0.0,32.0,0.6923076923076923,4.0,5.0,9.0,0.0,7.0,0.0,0.5714285714285714,0.0,10.0,8.2,4.0,5.0,8.0,1.0,4.0,0.8214285714285714,164.0,3308.0,136533.0,173.0,0.0,0.0,1.0,14.0,25.0,799.0,0.0,0.0,1.0,1.0,32.0,188.0,5602.0,4.0,244.0,6880.0,5.0,9.0,22.0,15.0,1.0,40.0,41.0,0.2857142857142857,0.0,other,9.0,0.0,9.0,7.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,3.0,0.0,public
long-method,aoi-2.8.1,artofillusion.animation.distortion,CustomDistortionTrack,apply(double),0.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,15.0,3.0,0.0,5.0,0.0,16.0,0.5833333333333334,7.0,7.0,7.0,0.0,9.0,0.0,0.7777777777777778,0.0,1.8518518518518500,1.722222222222220,29.0,25.0,42.0,2.0,22.0,0.8122448979591838,404.0,3308.0,136533.0,470.0,18.0,14.0,9.0,7.0,25.0,799.0,1.0,0.0,1.0,1.0,32.0,188.0,5602.0,27.0,244.0,6880.0,36.0,0.0,22.0,117.0,0.24242424242424243,50.0,62.0,0.7428571428571429,0.0,other,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,36.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,35.0,26.0,0.0,public
long-method,aoi-2.8.1,artofillusion.animation.distortion,CustomDistortionTrack,copy(Track),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,2.0,0.0,11.0,1.0,3.0,3.0,9.0,0.0,3.0,0.0,1.0,0.0,1.8518518518518500,1.722222222222220,29.0,25.0,42.0,2.0,22.0,0.8122448979591838,404.0,3308.0,136533.0,470.0,18.0,14.0,9.0,7.0,25.0,799.0,1.0,0.0,1.0,1.0,32.0,188.0,5602.0,27.0,244.0,6880.0,36.0,0.0,22.0,117.0,0.24242424242424243,50.0,62.0,0.7428571428571429,0.0,other,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,36.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,35.0,26.0,0.0,public
long-method,aoi-2.8.1,artofillusion.animation.distortion,CustomDistortionTrack,CustomDistortionTrack(ObjectInfo),0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,14.0,1.0,0.0,1.0,0.0,9.0,875,5.0,5.0,7.0,0.0,5.0,0.0,1.0,0.0,1.8518518518518500,1.722222222222220,29.0,25.0,42.0,2.0,22.0,0.8122448979591838,404.0,3308.0,136533.0,470.0,18.0,14.0,9.0,7.0,25.0,799.0,1.0,0.0,1.0,1.0,32.0,188.0,5602.0,27.0,244.0,6880.0,36.0,0.0,22.0,117.0,0.24242424242424243,50.0,62.0,0.7428571428571429,0.0,other,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,36.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,35.0,26.0,0.0,public
long-method,aoi-2.8.1,artofillusion.animation.distortion,CustomDistortionTrack,duplicate(Object),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0,2.0,0.0,10.0,1.0,3.0,3.0,8.0,1.0,3.0,0.0,1.0,0.0,1.8518518518518500,1.722222222222220,29.0,25.0,42.0,2.0,22.0,0.8122448979591838,404.0,3308.0,136533.0,470.0,18.0,14.0,9.0,7.0,25.0,799.0,1.0,0.0,1.0,1.0,32.0,188.0,5602.0,27.0,244.0,6880.0,36.0,0.0,22.0,117.0,0.24242424242424243,50.0,62.0,0.7428571428571429,0.0,other,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,36.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,35.0,26.0,0.0,public
data-class,aoi-2.8.1,artofillusion.keystroke,KeystrokeRecord,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0.777777778,26,574,136533,74,0,0,8,4,7,799,0,0,0,0,32,31,5602,2,40,6880,10,0,22,10,0.333333333,2,10,0.2,0,other,0,0,0,4,0,0,0,0,1,0,0,0,10,10,0,0,0,4,0,0,0,10,1,0,public
long-method,aoi-2.8.1,artofillusion.object,SplineMesh,interpOneAxis(MeshVertex[][]float[]double[][][]booleandouble),1.0,1.0,4.0,5.0,0.0,1.0,1.0,0.0,6.0,102.0,23.0,0.0,23.0,0.0,25.0,0.5,1.0,3.0,1.0,1.0,3.0,0.0,0.3333333333333333,1.0,6.53125,5.018518518518510,26.0,44.0,42.0,2.0,23.0,0.7660377358490567,1257.0,16486.0,136533.0,1614.0,25.0,17.0,22.0,10.0,68.0,799.0,1.0,0.0,1.0,2.0,32.0,681.0,5602.0,32.0,924.0,6880.0,54.0,0.0,22.0,158.0,0.4423758865248227,209.0,271.0,0.5510204081632653,0.0,other,2.0,0.0,2.0,14.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,51.0,46.0,5.0,14.0,1.0,2.0,3.0,0.0,1.0,49.0,29.0,5.0,public
god-class,aoi-2.8.1,artofillusion.object,SplineMesh,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53125,5.018518519,26,44,42,2,23,0.766037736,1257,16486,136533,1614,25,17,22,16,68,799,1,0,1,2,32,681,5602,32,924,6880,54,0,22,158,0.442375887,209,271,0.551020408,0,other,2,0,2,14,2,0,0,0,3,3,3,0,51,46,5,14,1,2,3,0,1,49,29,5,public
long-method,aoi-2.8.1,artofillusion.object,TriangleMesh,doSubdivide(TriangleMeshVertex[]Edge[]Face[]boolean[]Vertex[]Edge[]Face[]double[][][]double[][][]int[]),1.0,3.0,6.0,11.0,0.0,0.0,0.0,0.0,6.0,346.0,51.0,0.0,32.0,0.0,47.0,0.13333333333333333,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,11.46938775510200,9.029411764705880,23.0,45.0,58.0,2.0,26.0,0.8843283582089553,3494.0,16486.0,136533.0,3803.0,25.0,17.0,19.0,16.0,68.0,799.0,4.0,0.0,1.0,2.0,32.0,681.0,5602.0,49.0,924.0,6880.0,68.0,0.0,22.0,189.0,0.5121568627450981,562.0,614.0,0.6415094339622641,0.0,other,6.0,0.0,6.0,9.0,8.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,68.0,52.0,16.0,0.0,1.0,17.0,13.0,0.0,1.0,53.0,45.0,16.0,public
